Canberra|-35.31000137,149.13000488,611.1|2017-10-08T02:22:31.737Z|Mostly Cloudy|19.0|1016.5|55%
Ballarat|-37.56000137,143.86000061,522.1|2017-10-08T02:22:32.151Z|Partly Cloudy|24.0|1010.0|48%
Melbourne|-37.81000137,144.96000671,84.1|2017-10-08T02:22:32.601Z|Partly Cloudy|23.0|1004.3|42%
Adelaide|-34.93000031,138.60000610,11.0|2017-10-08T02:22:32.943Z|Clear|25.0|1009.0|33%
Brisbane|-27.46999931,153.02999878,14.0|2017-10-08T02:22:33.281Z|Mostly Cloudy|25.0|1011|56%
Sydney|-33.86999893,151.21000671,3.0|2017-10-08T02:22:33.598Z|Overcast|20.0|1016.8|75%
Darwin|-12.46000004,130.83999634,0.9|2017-10-08T02:22:33.941Z|Clear|33.0|1008.4|57%
Hobart|-42.88000107,147.33000183,0.9|2017-10-08T02:22:34.484Z|Mostly Cloudy|16.0|1010.4|75%
Cairns|-16.93000031,145.77999878,21.9|2017-10-08T02:22:34.811Z|Partly Cloudy|28.0|1014.1|57%
Geelong|-38.15000153,144.36000061,0.9|2017-10-08T02:22:35.134Z|Partly Cloudy|25.0|1007.0|45%
Sunshine|-37.77999878,144.83000183,39.9|2017-10-08T02:22:35.511Z|Partly Cloudy|24.0|1008.4|46%
